,x_opt,x_sim,u0,u1,u2,u3,PV,PV_pred,PL,PL_pred
0,0.3,0.3,0.0,4.108510324884047e-18,17.17592593003067,5.454908725979271e-23,0.0,0.0,16.12784900004046,16.12784900004046
1,0.3,0.3,0.0,1.8737673157871153e-42,19.0276124300435,0.0,0.0,0.0,17.17592593003067,17.17592593003067
2,0.3,0.3,0.0,2.7155289454536708e-48,18.18303571990689,0.0,0.0,0.0,19.0276124300435,19.0276124300435
3,0.3,0.3,0.0,0.0,17.66435185004961,0.0,0.0,0.0,18.18303571990689,18.18303571990689
4,0.3,0.3,0.0,5.070305845988061e-36,16.4212962898891,0.0,0.0,0.0,17.66435185004961,17.66435185004961
5,0.3,0.3,5.72780747292769e-44,1.1753285377819366e-08,16.421296278135813,0.0,0.0,0.0,16.4212962898891,16.4212962898891
6,0.3,0.29999999999785615,1.7452337561082877e-24,1.1753271674121284e-08,15.991274918317858,0.0,0.0,0.0,15.99127493007113,15.99127493007113
7,0.3,0.2999999999957123,0.0,1.1753243736371592e-08,16.332799138156705,0.0,0.0,0.0,16.33279914990995,16.33279914990995
8,0.3,0.29999999999356847,2.4591833344739454e-06,2.4623564086723987e-06,16.185185176872615,0.0,0.0,0.0,16.185185180045707,16.185185180045707
9,0.3,0.29999999991892795,0.0,5.91932369112517e-22,16.4772079712251,0.0,0.0,0.0,16.47720798011873,16.47720798011873
10,0.3,0.29999999991892795,5.82523611834374e-16,0.0,16.80519943193922,0.0,0.0,0.0,16.80519942985849,16.80519942985849
11,0.3,0.29999999991892795,0.0,0.0,16.12678063008935,0.0,0.0,0.0,16.73148147994656,16.73148147994656
12,0.3,0.29999999991892795,0.0,1.1752439280406322e-08,16.12678061833691,3.903488621121683e-50,0.0,0.0,16.12678063008935,16.12678063008935
13,0.3,0.29999999991678433,0.0,1.1752397986596831e-08,15.76673787821169,2.561182003689421e-53,0.0,0.0,15.766737889964087,15.766737889964087
14,0.3,0.2999999999146407,1.8891785115634395e-06,1.890150774368555e-06,16.34907406902042,0.0,0.453125,0.453125,15.865740739973289,15.865740739973289
15,0.3,0.29999999985756814,5.0689987101762205e-46,1.392612782820406e-08,15.200694435086977,1.305060893599705e-53,1.0999999999767198,1.0999999999767198,17.449074069969402,17.449074069969402
16,0.3,0.29999999985502795,0.0,1.1751737358896195e-08,12.864272799407313,0.0,2.10023148101754,2.10023148101754,17.300925930030647,17.300925930030647
17,0.3,0.29999999985288434,1.8936965717785616e-09,7.210604460455209e-35,11.858383881774095,0.0,3.3996160789975,3.3996160789975,16.26388889015655,16.26388889015655
18,0.3,0.29999999985317277,3.476533176564357e-32,1.1751681630459977e-08,12.750859089202015,2.088097429759528e-52,4.71640243998263,4.71640243998263,16.57478631986303,16.57478631986303
19,0.3,0.29999999985102915,2.0466608896526727e-09,0.0,11.127278156064044,0.0,6.49379901902284,6.49379901902284,19.24465811997654,19.24465811997654
20,0.3,0.2999999998513409,4.76481112377563e-09,6.095138022964186e-36,8.538503441893186,6.525304467998525e-55,8.44056372600608,8.44056372600608,19.56784188002346,19.56784188002346
