,PV,P1,P2,Spot_pris,Grid_cap
0,0.0,1.02987637300976,15.0979726270307,1.59,33.0
1,0.0,1.16766826994717,16.0082576600835,1.59,
2,0.0,1.3828125,17.6447999300435,1.59,
3,0.0,1.46217105200049,16.7208646679064,1.59,
4,0.0,1.40501644799951,16.2593354020501,1.59,
5,0.0,1.1640625,15.2572337898891,1.59,
6,0.0,1.07499999995343,14.9162749301177,1.58,
7,0.0,1.20073529402725,15.1320638558827,1.58,
8,0.0,1.33455882302951,14.8506263570162,1.58,
9,0.0,1.37234477093443,15.1048632091843,1.58,
10,0.0,1.24236111203209,15.5628383178264,1.58,
11,0.0,1.10982142807916,15.6216600518674,1.58,
12,0.0,1.08344780199695,15.0433328280924,1.57,
13,0.0,1.00961538497359,14.7571225049905,1.57,
14,0.453125,1.00961538497359,14.8561253549997,1.57,
15,1.09999999997672,1.1875,16.2615740699694,1.57,
16,2.10023148101754,1.20673076901585,16.0941951610148,1.57,
17,3.3996160789975,1.12243589700665,15.1414529931499,1.57,
18,4.71640243998263,1.22598039195873,15.3488059279043,1.58,
19,6.49379901902284,1.15467437007464,18.0899837499019,1.58,
20,8.44056372600608,1.10714285692666,18.4606990230968,1.58,
21,10.1482843129779,1.12053571501747,17.5662520350888,1.58,
22,12.4552696080063,1.19791666604578,18.0752314839046,1.58,
23,13.428308824019,1.13020833395422,19.9146634661593,1.58,
24,15.3359139329987,1.08020833297633,18.9952902370133,1.56,
25,16.9165370470146,1.17916666704696,18.3717592627509,1.56,
26,18.9001225489774,1.05673076899257,23.4941951510264,1.56,
27,12.4471625189763,0.971153846010566,31.3390313440468,1.56,
28,12.4376414029975,1.1262820509728,31.0015669490676,1.56,
29,13.9160539210425,1.3583333339775,32.0415954460623,1.56,
30,16.4011123679811,1.50624999997672,32.9844907399965,1.51,
31,20.6803827300319,1.58437500009313,32.2072916598991,1.51,
32,23.9969362749835,1.63973214197904,32.8990855279844,1.51,
33,25.458161765011,1.65333850996103,35.3418538001133,1.51,
34,22.0832692299737,1.88130434800405,36.793019011966,1.51,
35,25.3868778279866,2.03455357102212,37.6413723489968,1.51,
36,26.4370404420188,2.05544642894529,38.3751091309823,1.52,
37,34.3374693620135,1.97048076905776,36.1961859009461,1.52,
38,43.1973039219738,1.80070970696397,36.5979726230726,1.52,
39,52.5833333330229,1.72267316002399,38.9295704299584,1.52,
40,54.6144654980162,1.88909932598472,40.6340488239657,1.52,
41,55.0944805809995,2.00203703797888,41.840555552044,1.52,
42,58.8946078429581,1.79988095199224,42.5859808780951,1.65,
43,60.6764705880196,1.85788690508343,45.7377327447757,1.65,
44,61.4756669490016,2.04650297597982,45.9534970240202,1.65,
45,62.7265389329987,1.97135416697711,47.8573495431338,1.65,
46,62.6106004909961,2.27812499995343,49.9562054800335,1.65,
47,63.654718136997,2.36445312504657,49.0401052848902,1.65,
48,66.0393924390082,2.35337094904389,52.9295706410194,1.71,
49,67.2289899140014,2.12635695992503,53.914775519981,1.71,
50,66.9669117640005,2.16495358105749,52.5572686390951,1.71,
51,67.8566176469903,1.89242788497359,50.917757304851,1.71,
52,67.678308824019,1.91968749999069,50.0019649202004,1.71,
53,68.3762254900066,1.92249999998603,51.0632549900329,1.71,
54,68.0447303919937,1.96730769204441,53.6252848977456,1.56,
55,68.4035044309567,2.11324786301702,54.7122507072054,1.56,
56,68.0744367460138,1.81944444496185,54.128205134999,1.56,
57,68.8492647060193,1.68181818095036,55.646885518916,1.56,
58,69.4705882350099,1.8231818190543,51.6168110609287,1.56,
59,69.696691175981,1.78477272693999,51.8724566132296,1.56,
60,70.2107843140257,1.93244949507061,52.9518097647233,1.54,
61,70.0710784319672,2.00854700803757,54.7143874620087,1.54,
62,70.5808823530097,1.89707167888992,57.3938827412203,1.54,
63,70.5055147049716,1.62215909105726,55.6880260990001,1.54,
64,70.7261029420188,1.72282608598471,54.3443035439122,1.54,
65,71.2126225490356,1.7652691520052,54.7539616079303,1.54,
66,70.973039214965,1.65592650102917,56.1419723589206,1.51,
67,70.9748774510226,1.79347826098092,57.7296698892023,1.51,
68,70.8069852939807,2.05000000004657,56.3645299198106,1.51,
69,61.9839828439872,2.66955128195696,56.8881410281174,1.51,
70,56.7329289210029,2.92065142001957,57.1995408800431,1.51,
71,72.2463235289906,2.88410285301507,55.7040381769184,1.51,
72,78.3976715690224,2.56440412194934,56.3811086980859,1.5,
73,90.4650735299801,2.23340570705477,55.7747851730091,1.5,
74,88.9307598030427,1.85179765895009,55.9306097510271,1.5,
75,88.3578431379865,2.01135481405072,55.472085355781,1.5,
76,87.4509803919937,2.01223214296624,56.2774758371525,1.5,
77,86.048406863003,2.00923076900654,56.9270227910019,1.5,
78,84.2395833330229,2.00854700803757,51.8607549818698,1.5,
79,84.3541666669771,2.13425925991032,50.9074074100936,1.5,
80,83.4417892150232,2.3360690230038,47.1520007769577,1.5,
81,81.6744730399805,2.43522727303207,42.6849650370423,1.5,
82,79.3950000000186,2.30416666704696,40.5804487130372,1.5,
83,77.7462499999674,2.41679687495343,36.659770074999,1.5,
84,76.5268014700268,2.36445312504657,37.2801337749697,1.49,
85,74.4148284309776,2.17874999996275,35.1025890300516,1.49,
86,72.5600490199868,1.91968749999069,34.7793865699787,1.49,
87,70.5683210790157,2.25245535699651,32.5299520529807,1.49,
88,68.0727163460106,2.4794950740179,30.5853197459364,1.49,
89,65.2331730769947,2.00955772097223,24.9997015390545,1.49,
90,63.2667208709754,2.01630434801336,21.0025702920975,1.48,
91,60.862745098013,2.3125,19.6964031299576,1.48,
