,x_opt,x_sim,u0,u1,u2,u3,PV,PV_pred,PL,PL_pred
0,0.3,0.3,2.3465565728313652e-09,1.0181074635480057e-08,17.17592592219614,0.0,0.0,0.0,16.12784900004046,16.12784900004046
1,0.30000000000483595,0.2999999999985003,0.0,6.800340337034749e-15,19.027612423408073,5.85810292049775e-19,0.0,0.0,17.17592593003067,17.17592593003067
2,0.3,0.2999999999985003,2.8451799181319596e-14,5.460297734050736e-05,18.18298111692958,0.0,0.0,0.0,19.0276124300435,19.0276124300435
3,0.3,0.2999999900387135,0.0,6.8319549363469846e-09,17.664351838277774,1.5936827708595207e-18,0.0,0.0,18.18303571990689,18.18303571990689
4,0.3,0.2999999900374674,3.6183437922086503e-09,1.3717194562026266e-21,16.421296293507442,2.6727647100921956e-51,0.0,0.0,17.66435185004961,17.66435185004961
5,0.3,0.2999999900380185,3.72356613028083e-18,0.0,15.991274931476216,0.0,0.0,0.0,16.4212962898891,16.4212962898891
6,0.3,0.2999999900380185,0.0,9.64570245019323e-24,16.332799140325356,0.0,0.0,0.0,15.99127493007113,15.99127493007113
7,0.3,0.2999999900380185,1.3521000627129772e-10,5.447507571218235e-10,16.18518517963617,0.0,0.0,0.0,16.33279914990995,16.33279914990995
8,0.3,0.2999999900379397,4.575485037500481e-10,6.073862687968193e-09,16.47720797450241,0.0,0.0,0.0,16.185185180045707,16.185185180045707
9,0.3,0.2999999900369014,0.0,3.8718510257311585e-33,16.805199427397678,1.5905429640746404e-53,0.0,0.0,16.47720798011873,16.47720798011873
10,0.3,0.2999999900369014,0.0,0.0,16.731481477057688,8.352389719038111e-53,0.0,0.0,16.80519942985849,16.80519942985849
11,0.3,0.2999999900369014,0.0,2.170551702754575e-26,16.126780626275227,0.0,0.0,0.0,16.73148147994656,16.73148147994656
12,0.3,0.2999999900369014,0.0,7.44449734454307e-09,15.766737882519589,0.0,0.0,0.0,16.12678063008935,16.12678063008935
13,0.3,0.2999999900355436,0.0,4.666306359684504e-09,15.412615735306982,0.0,0.0,0.0,15.766737889964087,15.766737889964087
14,0.3,0.2999999900346925,5.8882888896932e-17,1.5851078425829565e-07,16.3490739114819,0.0,0.453125,0.453125,15.865740739973289,15.865740739973289
15,0.3,0.29999999000577965,0.0,0.0,15.20069444377797,6.439863762620669e-52,1.0999999999767198,1.0999999999767198,17.449074069969402,17.449074069969402
16,0.3,0.29999999000577965,0.0,1.4420351403671992e-34,12.864272805325887,3.132146144639292e-53,2.10023148101754,2.10023148101754,17.300925930030647,17.300925930030647
17,0.3,0.29999999000577965,3.451999305563202e-09,7.06591239092396e-43,11.8583838833324,0.0,3.3996160789975,3.3996160789975,16.26388889015655,16.26388889015655
18,0.3,0.29999999000630545,0.3640985220294235,0.0,13.11495762298312,1.0691058840368783e-50,4.71640243998263,4.71640243998263,16.57478631986303,16.57478631986303
19,0.300055437599296,0.3000554375992958,1.6769999256593624e-41,0.0,11.12727816036823,0.0,6.49379901902284,6.49379901902284,19.24465811997654,19.24465811997654
20,0.3000554376004542,0.3000554375992958,3.104683617749184e-47,0.0,8.538503445610997,0.0,8.44056372600608,8.44056372600608,19.56784188002346,19.56784188002346
21,0.300055437600843,0.3000554375992958,3.238119593846429e-37,0.0,6.8178785502648065,0.0,10.1482843129779,10.1482843129779,18.686787750106273,18.686787750106273
22,0.3000554376008135,0.3000554375992958,0.0,0.0,7.616562984269113,0.0,12.4552696080063,12.4552696080063,19.273148149950384,19.273148149950384
23,0.30005543760078685,0.3000554375992958,8.399780760522473,1.9213559670396275e-59,13.139365397513403,0.0,13.428308824019,13.428308824019,21.04487180011352,21.04487180011352
24,0.3013346178119004,0.30133461781190046,10.573425988335442,0.0,13.2078148711187,2.8318679462831697e-50,15.3359139329987,15.3359139329987,20.07549856998963,20.07549856998963
