,PL,PV,date,PV_pred,PL_pred
0,92.68445979958712,1.267140625,2020-10-09 00:01:00,1.0414012238016943,113.43693701691677
1,99.18871756580387,1.2360078125,2020-10-09 00:11:00,1.0148380734429197,114.6189846233996
2,98.55876738936813,1.204875,2020-10-09 00:21:00,0.9882749230841456,115.5110669812978
3,100.60101325556921,1.1737421875,2020-10-09 00:31:00,0.9629426261170558,112.61847977407758
4,100.0478170552385,1.142609375,2020-10-09 00:41:00,0.9377470906379312,111.41318327200187
5,105.42654668367823,1.1114765624999998,2020-10-09 00:51:00,0.9125515551588068,111.75141579075951
6,101.48449166037821,1.08034375,2020-10-09 01:01:00,0.8873560196796823,111.88220007267263
7,96.36084544764154,1.0492109374999998,2020-10-09 01:11:00,0.8621604842005576,110.79251775317806
8,95.56972312927248,1.018078125,2020-10-09 01:21:00,0.8369649487214329,110.19463703237189
9,94.90017420217535,0.9869453124999998,2020-10-09 01:31:00,0.8117694132423086,111.52264332815193
10,97.45045622339791,0.9558125,2020-10-09 01:41:00,0.7865738777631839,109.73272601440478
11,93.99230718612672,0.9246796874999998,2020-10-09 01:51:00,0.762043918959336,111.04045897531314
12,96.15414357922741,0.893546875,2020-10-09 02:01:00,0.7375254511063648,110.05900110369758
13,93.22428801349388,0.8624140624999999,2020-10-09 02:11:00,0.7130069832533934,109.75608143872036
14,93.65556371100595,0.83128125,2020-10-09 02:21:00,0.6884885154004221,108.87933253994456
15,94.13349259574457,0.8001484374999999,2020-10-09 02:31:00,0.6639700475474506,108.43346085574122
16,95.96698128640115,0.769015625,2020-10-09 02:41:00,0.6394515796944791,109.6383947631864
17,95.99679398970171,0.7378828124999999,2020-10-09 02:51:00,0.6149331118415077,109.63401121870858
18,98.04539828030569,0.70675,2020-10-09 03:01:00,0.5924549271285205,111.25305095774958
19,97.62834291004,0.6756171874999999,2020-10-09 03:11:00,0.5699931619188608,110.24058829479894
20,102.98114096901631,0.644484375,2020-10-09 03:21:00,0.5475328428658952,110.36118627016195
21,89.1430451979331,0.6133515624999999,2020-10-09 03:31:00,0.5250725238129293,111.09168206854748
22,94.85817109554188,0.58221875,2020-10-09 03:41:00,0.5026122047599638,109.30878861670773
23,89.8663446301612,0.5510859374999999,2020-10-09 03:51:00,0.48015188570699796,109.41788501859486
24,92.81720359108664,0.5199531249999998,2020-10-09 04:01:00,0.4576915666540322,109.73756578204828
25,103.40664284045886,0.4888203124999997,2020-10-09 04:11:00,0.4352312476010666,110.24145091709377
26,96.52788514911005,0.4576875,2020-10-09 04:21:00,0.4127709285481007,109.36887225925858
27,127.52345988906436,0.4265546874999999,2020-10-09 04:31:00,0.39031060949513496,113.2739702086933
28,112.36682070777528,0.3954218749999998,2020-10-09 04:41:00,0.3678502904421693,119.85545693466206
29,113.08436676307959,0.3642890624999997,2020-10-09 04:51:00,0.3453899713892035,119.01478315467436
30,154.10595810204222,0.33315625000000004,2020-10-09 05:01:00,0.3229296523362379,132.127853911324
31,141.92795789563974,0.30202343749999994,2020-10-09 05:11:00,0.3004693332832721,137.48990045133675
32,149.46725920204798,0.27089062499999983,2020-10-09 05:21:00,0.27800901423030633,140.25696133222152
33,182.87464297259288,0.2397578124999997,2020-10-09 05:31:00,0.2555486951773406,152.30437481223709
34,173.6638073002526,0.2086250000000001,2020-10-09 05:41:00,0.2330883761243749,158.84736264088374
35,175.623057047526,0.17749218749999995,2020-10-09 05:51:00,0.21062805707140925,164.95212823123794
36,181.77231842880943,0.14635937499999985,2020-10-09 06:01:00,0.1881677380184434,174.29781471999237
37,195.2160062436704,0.11522656249999975,2020-10-09 06:11:00,0.16570741896547767,181.0253751385817
38,204.6713270707564,0.08409375000000008,2020-10-09 06:21:00,0.14324709991251194,182.4482957848684
39,194.2780541614093,0.05296093749999997,2020-10-09 06:31:00,0.12078678085954625,191.2710514325148
40,197.5791710895041,0.02182812499999986,2020-10-09 06:41:00,0.10592422466208172,201.15063052176623
41,196.8490399447355,1.3333333333333337,2020-10-09 06:51:00,0.3040211919101102,219.13454049392067
42,208.31524991122157,7.5,2020-10-09 07:01:00,1.0872368851122487,235.26902449886106
43,220.24083225543686,15.0,2020-10-09 07:11:00,2.7263827058385552,240.04978440274758
44,217.5066259474981,23.4375,2020-10-09 07:21:00,5.240566969598644,247.278674836781
45,218.18432916659057,31.499999994412065,2020-10-09 07:31:00,8.957494277881379,244.66315502515565
46,221.7870185158469,46.99999999953434,2020-10-09 07:41:00,11.627115640605126,249.05175607435157
47,228.94174801861809,54.74999999860302,2020-10-09 07:51:00,15.717244925780307,258.38544458501264
48,225.83552483149936,66.75000000279397,2020-10-09 08:01:00,20.62407683004988,267.85963663689097
49,241.17878013744686,75.0,2020-10-09 08:11:00,29.02656305459585,269.55716858485835
50,249.23196567998875,93.00000000279395,2020-10-09 08:21:00,33.85208333358169,258.59460755191947
51,249.5550303988987,108.00000000279395,2020-10-09 08:31:00,35.71458333334885,259.1193560724158
52,246.17390782624767,132.24999996833506,2020-10-09 08:41:00,44.887500001350425,262.1405655320053
53,249.546271647882,135.74999999720603,2020-10-09 08:51:00,56.32916666520761,276.8054400252008
54,248.1891585705328,163.49999999860304,2020-10-09 09:01:00,62.59166666911915,280.85712037659766
55,242.13621125397862,162.74999999441206,2020-10-09 09:11:00,61.88749999902211,283.98445803216566
56,232.3472941262381,175.50000000279397,2020-10-09 09:21:00,70.34583333041519,283.599246027906
57,236.65882845014056,189.74999999860302,2020-10-09 09:31:00,81.0874999987427,283.1727250079054
