date,time,value
2021-03-08,11:30:32,333.828002929688
2021-03-08,11:30:32,333.828002929688
2021-03-08,11:30:43,334.065979003906
2021-03-08,11:30:54,340.383758544922
2021-03-08,11:31:03,337.439147949219
2021-03-08,11:31:13,333.82373046875
2021-03-08,11:31:24,337.671875
2021-03-08,11:31:34,339.614929199219
2021-03-08,11:31:44,342.125823974609
2021-03-08,11:31:55,327.600921630859
2021-03-08,11:32:04,323.017150878906
2021-03-08,11:32:15,325.614654541016
2021-03-08,11:32:25,324.431457519531
2021-03-08,11:32:35,337.427917480469
2021-03-08,11:32:46,324.761657714844
2021-03-08,11:32:57,321.563049316406
2021-03-08,11:33:06,325.040588378906
2021-03-08,11:33:16,333.178894042969
2021-03-08,11:33:26,330.570251464844
2021-03-08,11:33:37,329.727355957031
2021-03-08,11:33:46,335.827606201172
2021-03-08,11:33:57,332.042724609375
2021-03-08,11:34:07,333.211517333984
2021-03-08,11:34:17,357.462158203125
2021-03-08,11:34:27,325.467529296875
2021-03-08,11:34:38,326.295928955078
2021-03-08,11:34:48,331.837890625
2021-03-08,11:34:58,337.618316650391
2021-03-08,11:35:09,333.130950927734
2021-03-08,11:35:19,331.445129394531
2021-03-08,11:35:29,339.588745117188
2021-03-08,11:35:39,337.880035400391
2021-03-08,11:35:49,342.878173828125
2021-03-08,11:35:59,351.272003173828
2021-03-08,11:36:10,411.440704345703
2021-03-08,11:36:20,360.655364990234
2021-03-08,11:36:30,368.599609375
2021-03-08,11:36:41,376.744293212891
2021-03-08,11:36:50,325.473205566406
2021-03-08,11:37:00,331.652099609375
2021-03-08,11:37:11,365.593170166016
2021-03-08,11:37:21,330.718322753906
2021-03-08,11:37:32,340.190551757812
2021-03-08,11:37:41,357.563354492188
2021-03-08,11:37:52,344.113830566406
2021-03-08,11:38:02,349.452301025391
2021-03-08,11:38:13,354.109619140625
2021-03-08,11:38:22,353.441589355469
2021-03-08,11:38:32,347.762481689453
2021-03-08,11:38:43,326.791442871094
2021-03-08,11:38:53,331.748840332031
2021-03-08,11:39:03,333.180114746094
