,index,PmP2QAct,PmP2PAct,PL,FedQAct,elspec_PmEAct,PmP2EImportAct,PV,Met_WdSpd,Met_Temp,Met_IrrGloHoztl,Met_IrrPOA,Met_ModTemo,SysBatIAct,SysBatEAct,SysBatSocTotAct,SysBatVAct,SysBatChargingSt,SysBatDischargingSt,date
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-01 01:00:00
1,10,-1.528215652805263,6.749649383253971,99.31171136532188,1.809571944107519,115.00000003259629,5.625,0.0370919881305638,3.0,13.22142846243722,0.17964071856287425,0.18072289156626506,0.0017117425539198905,-0.7142857142857141,761.702392578125,69.59999847412111,751.5555419921875,0.0004158695832986775,0.000313263579976192,2020-10-01 01:10:00
2,20,-1.325076971735272,7.088984307596239,106.92692725441671,-0.35771772678975605,98.75000000931323,7.5,0.0741839762611276,4.0,13.29285730634417,0.3592814371257485,0.3614457831325301,0.003423485107839781,-0.769230769230768,762.7968139648436,69.69999694824217,751.5499877929686,0.000831739166597355,0.000626527159952384,2020-10-01 01:20:00
3,30,-1.879972128741509,9.291901639077516,101.56562688329196,-1.267333449882881,122.49999997671694,9.375,0.11127596439169139,2.25,13.133333524068195,0.5389221556886228,0.5421686746987951,0.005135227661759671,1.5,762.2496032714844,69.64999771118165,751.522216796875,0.0012476087498960325,0.0009397907399285759,2020-10-01 01:30:00
4,40,-1.736036604433728,9.136263727140022,109.19416758219405,-0.280789623308616,103.75000001862645,11.25,0.1483679525222552,1.5,13.116666952768961,0.718562874251497,0.7228915662650602,0.006846970215679562,-0.555555555555555,762.2496032714844,69.64999771118165,751.4833374023436,0.00166347833319471,0.001253054319904768,2020-10-01 01:40:00
5,50,-1.604003903269767,8.98562314775255,107.45545089579076,-1.9259098106568002,105.0,11.25,0.185459940652819,3.0,13.23571423121861,0.8982035928143712,0.9036144578313252,0.008558712769599451,0.15384615384615302,762.0671997070312,69.63333129882812,751.529992675781,0.0020793479164933877,0.00156631789988096,2020-10-01 01:50:00
6,60,-1.422472245163387,9.144023975404371,113.41411361019165,-0.126982792104418,107.49999997671694,11.25,0.22255192878338279,4.0,13.333333651224773,1.0778443113772456,1.0843373493975903,0.010270455323519343,1.4,762.2496032714844,69.64999771118165,751.5,0.002495217499792065,0.0018795814798571518,2020-10-01 02:00:00
7,70,-1.136270923539995,9.29403293132782,102.49334404685281,0.27991558016011703,111.25000004656613,11.25,0.2596439169139466,3.6666666666666665,13.488888952467176,1.2574850299401197,1.2650602409638554,0.011982197877439232,0.16666666666666602,762.2496032714844,69.64999771118165,751.5,0.0029110870830907423,0.0021928450598333437,2020-10-01 02:10:00
8,80,-1.5067039237302882,7.456775289470864,105.82473550019445,-0.06583219453274601,101.25,9.375,0.2967359050445104,2.0,13.590000343322753,1.437125748502994,1.4457831325301205,0.013693940431359124,-1.166666666666666,762.2496032714844,69.64999771118165,751.5,0.00332695666638942,0.002506108639809536,2020-10-01 02:20:00
9,90,-0.510717803710385,7.648969282538204,103.9640860557556,-0.567766543016547,117.49999999534339,5.625,0.3338278931750742,5.142857142857142,13.73157887709768,1.6167664670658681,1.6265060240963856,0.015405682985279013,-0.09090909090909001,762.2496032714844,69.64999771118165,751.4833374023436,0.0037428262496880978,0.002819372219785728,2020-10-01 02:30:00
