,SOC1,SOC2,SOC3,PB1,PB2,PB3,PG,WT,PV,L1,L2,T,B,L
0,0.7,0.3,0.3,-23.30741554920818,-23.30741554931184,-23.30741554921867,-3.3296307927455624,89.3797264405247,0.0,1.02987637300976,15.0979726270307,86.05009564777914,-69.92224664773869,16.12784900004046
1,0.7064742820970021,0.3103588513552497,0.5977350114351921,-23.734409631133776,-23.734409631205644,-23.73440963114539,-3.3906299473065236,91.769784770822,0.0,1.1676682699471699,16.008257660083498,88.37915482351548,-71.2032288934848,17.17592593003067
2,0.7130671736612059,0.32090747785800783,0.5977336928857853,-21.19013133551297,-21.190131335573668,-21.19013133552523,-3.027161619360783,85.62516805601615,0.0,1.3828125,17.6447999300435,82.59800643665537,-63.57039400661187,19.0276124300435
3,0.7189533212544039,0.3303253140071516,0.5977334452565506,-23.243372344827282,-23.243372344880203,-23.24337234484059,-3.3204817635486936,91.23363451800367,0.0,1.46217105200049,16.7208646679064,87.91315275445497,-69.73011703454807,18.18303571990689
4,0.7254098135724114,0.34065570171598714,0.5977324459387614,-22.207208139216533,-22.207208139264413,-22.207208139231174,-3.1724583056044895,87.45843457336622,0.0,1.40501644799951,16.259335402050098,84.28597626776173,-66.62162441771211,17.66435185004961
5,0.7315784824999714,0.3505255720001047,0.5977315195388113,-26.545973320262767,-26.545973320306693,-26.545973320278563,-3.792281902896982,99.8514981536341,0.0,1.1640625,15.2572337898891,96.05921625073712,-79.63791996084802,16.4212962898891
6,0.738952363977822,0.3623237823646854,0.5977307660075131,-21.2085778646201,-21.20857786466169,-21.208577864637245,-3.029796837805355,82.64680536179553,0.0,1.07499999995343,14.9162749301177,79.61700852399017,-63.62573359391904,15.99127493007113
7,0.744843635606883,0.3717498169712018,0.5977303816746974,-28.12995417481261,-28.129954174852532,-28.12995417483114,-4.01856488211878,104.741226556525,0.0,1.20073529402725,15.1320638558827,100.72266167440624,-84.38986252449628,16.332799149909953
8,0.7526575117665534,0.38425201882669185,0.5977293336075102,-24.830545032195413,-24.83054503223441,-24.830545032215678,-3.5472207188879947,94.2240409955792,0.0,1.33455882302951,14.850626357016198,90.6768202766912,-74.4916350966455,16.185185180045707
9,0.7595548853866075,0.395287816618796,0.597728932614582,-25.11857905096273,-25.118579051001632,-25.11857905098521,-3.588368435855071,95.42131356892338,0.0,1.37234477093443,15.1048632091843,91.83294513306832,-75.35573715294959,16.477207980118727
10,0.7665322684563195,0.40645162953035224,0.597728229363621,-22.31350368710829,-22.313503687148454,-22.313503687134673,-3.1876433838764187,86.93335387512633,0.0,1.24236111203209,15.5628383178264,83.74571049124991,-66.94051106139142,16.80519942985849
11,0.7727304639249607,0.41636874228019605,0.597727429054704,-22.96901289839826,-22.969012898439367,-22.969012898426914,-3.281287556918168,88.91980773212927,0.0,1.1098214280791598,15.6216600518674,85.6385201752111,-68.90703869526455,16.73148147994656
12,0.779110745285627,0.42657719245728015,0.5977270359730958,-23.506150178502036,-23.506150178546395,-23.50615017853575,-3.3580214540765745,90.00325261975011,0.0,1.08344780199695,15.043332828092401,86.64523116567354,-70.51845053558418,16.12678063008935
13,0.7856402314463219,0.43702437031441177,0.5977262936545715,-24.417008048179042,-24.41700804822621,-24.41700804821659,-3.4881440068881253,92.50590604147406,0.0,1.0096153849735898,14.757122504990498,89.01776203458593,-73.25102414462185,15.766737889964087
14,0.7924227336819272,0.4478763738914011,0.5977257817422511,-19.927355626615736,-19.927355626666923,-19.927355626658343,-2.8467650895226537,78.04144770943695,0.453125,1.0096153849735898,14.8561253549997,75.6478076199143,-59.782066879941006,15.865740739973289
15,0.797958110244876,0.456732976392142,0.5977256689225683,-24.039424897808356,-24.039424897869257,-24.039424897862194,-3.434203556837496,91.90155232037,1.0999999999767198,1.1875,16.261574069969402,89.56734876350922,-72.11827469353982,17.449074069969402
16,0.8046357282720451,0.46741716523563953,0.5977249896883325,-23.8751407013043,-23.87514070140095,-23.87514070139543,-3.4107343859136727,90.23685093902746,2.10023148101754,1.2067307690158502,16.0941951610148,88.92634803413134,-71.62542210410069,17.300925930030647
17,0.8112677118001851,0.4780283388807066,0.597724479597963,-25.24717364850381,-25.247173649230962,-25.24717364922659,-3.6067390927466954,92.21253285086712,3.3996160789975,1.12243589700665,15.141452993149901,92.00540983711792,-75.74152094696137,16.26388889015655
18,0.818280815591436,0.4892493049470314,0.5978536571144578,-28.213991292028112,-30.2734578054992,-30.273457805496243,-4.324779686499513,104.94407046940346,4.71640243998263,1.22598039195873,15.348805927904301,105.33569322288658,-88.76090690302355,16.57478631986303
19,0.8261180353947769,0.5027041750828088,0.5999953379652436,-23.75712751293928,-28.870315276842838,-28.87031527684131,-4.124330753834518,98.37294792141164,6.49379901902284,1.15467437007464,18.089983749901897,100.74241618659997,-81.49775806662343,19.24465811997654
20,0.8327172374817046,0.5155354263169613,0.599990488879667,-17.54702466018103,-25.49517341363294,-25.495173413632724,-3.642167630519,83.30681727198308,8.44056372600608,1.10714285692666,18.4606990230968,88.10521336747014,-68.53737148744669,19.56784188002346
21,0.8375914109984215,0.5268666145007981,0.5999806974308951,-19.340759881565358,-29.001210006653316,-29.001210006654283,-4.143030000950654,90.02471333295199,10.1482843129779,1.12053571501747,17.5662520350888,96.02996764497924,-77.34317989487296,18.686787750106273
22,0.8429638442988564,0.539756041170422,0.5999759319122135,-18.998252841731663,-30.741948683854027,-30.74194868385631,-4.391706954836663,91.69173570622274,12.4552696080063,1.19791666604578,18.075231483904602,99.75529835939238,-80.48215020944201,19.273148149950384
