,PV,P1,P2,Spot_pris,PV_pred,PL_pred
0,0.0,1.02987637300976,15.0979726270307,1.59,0.0,16.12784900004046
1,0.0,1.1676682699471699,16.008257660083498,1.59,0.0,17.17592593003067
2,0.0,1.3828125,17.6447999300435,1.59,0.0,19.0276124300435
3,0.0,1.46217105200049,16.7208646679064,1.59,0.0,18.18303571990689
4,0.0,1.40501644799951,16.259335402050098,1.59,0.0,17.66435185004961
5,0.0,1.1640625,15.2572337898891,1.59,0.0,16.4212962898891
6,0.0,1.07499999995343,14.9162749301177,1.58,0.0,15.99127493007113
7,0.0,1.20073529402725,15.1320638558827,1.58,0.0,16.33279914990995
8,0.0,1.33455882302951,14.850626357016198,1.58,0.0,16.185185180045707
9,0.0,1.37234477093443,15.1048632091843,1.58,0.0,16.47720798011873
10,0.0,1.24236111203209,15.5628383178264,1.58,0.0,16.80519942985849
11,0.0,1.1098214280791598,15.6216600518674,1.58,0.0,16.73148147994656
12,0.0,1.08344780199695,15.043332828092401,1.57,0.0,16.12678063008935
13,0.0,1.0096153849735898,14.757122504990498,1.57,0.0,15.766737889964087
14,0.453125,1.0096153849735898,14.8561253549997,1.57,0.453125,15.865740739973289
15,1.0999999999767198,1.1875,16.261574069969402,1.57,1.0999999999767198,17.449074069969402
16,2.10023148101754,1.2067307690158502,16.0941951610148,1.57,2.10023148101754,17.300925930030647
17,3.3996160789975,1.12243589700665,15.141452993149901,1.57,3.3996160789975,16.26388889015655
18,4.71640243998263,1.22598039195873,15.348805927904301,1.58,4.71640243998263,16.57478631986303
19,6.49379901902284,1.15467437007464,18.089983749901897,1.58,6.49379901902284,19.24465811997654
20,8.44056372600608,1.10714285692666,18.4606990230968,1.58,8.44056372600608,19.56784188002346
21,10.1482843129779,1.12053571501747,17.5662520350888,1.58,10.1482843129779,18.686787750106273
22,12.4552696080063,1.19791666604578,18.075231483904602,1.58,12.4552696080063,19.273148149950384
23,13.428308824019,1.13020833395422,19.9146634661593,1.58,13.428308824019,21.04487180011352
24,15.3359139329987,1.08020833297633,18.9952902370133,1.56,15.3359139329987,20.07549856998963
25,16.9165370470146,1.17916666704696,18.371759262750896,1.56,16.9165370470146,19.550925929797856
26,18.9001225489774,1.0567307689925698,23.494195151026396,1.56,18.9001225489774,24.550925920018965
27,12.447162518976299,0.9711538460105659,31.339031344046802,1.56,12.447162518976299,32.31018519005737
28,12.437641402997501,1.1262820509728002,31.001566949067602,1.56,12.437641402997501,32.1278490000404
29,13.916053921042499,1.3583333339775,32.0415954460623,1.56,13.916053921042499,33.3999287800398
30,16.4011123679811,1.5062499999767198,32.9844907399965,1.51,16.4011123679811,34.49074073997322
31,20.680382730031898,1.5843750000931298,32.2072916598991,1.51,20.680382730031898,33.79166665999223
32,23.9969362749835,1.6397321419790398,32.8990855279844,1.51,23.9969362749835,34.538817669963436
33,25.458161765011,1.6533385099610298,35.3418538001133,1.51,25.458161765011,36.99519231007433
34,22.0832692299737,1.8813043480040499,36.793019011966,1.51,22.0832692299737,38.67432335997005
35,25.386877827986602,2.03455357102212,37.641372348996796,1.51,25.386877827986602,39.67592592001892
36,26.437040442018798,2.0554464289452903,38.375109130982295,1.52,26.437040442018798,40.43055555992758
37,34.3374693620135,1.97048076905776,36.196185900946105,1.52,34.3374693620135,38.16666667000386
38,43.1973039219738,1.8007097069639701,36.5979726230726,1.52,43.1973039219738,38.39868233003657
39,52.5833333330229,1.72267316002399,38.9295704299584,1.52,52.5833333330229,40.65224358998239
40,54.6144654980162,1.88909932598472,40.6340488239657,1.52,54.6144654980162,42.523148149950416
41,55.0944805809995,2.0020370379788797,41.840555552044,1.52,55.0944805809995,43.84259259002288
42,58.894607842958095,1.7998809519922399,42.5859808780951,1.65,58.894607842958095,44.38586183008734
43,60.6764705880196,1.85788690508343,45.737732744775705,1.65,60.6764705880196,47.59561964985914
44,61.4756669490016,2.0465029759798203,45.9534970240202,1.65,61.4756669490016,48.00000000000002
45,62.72653893299871,1.9713541669771102,47.85734954313379,1.65,62.72653893299871,49.8287037101109
46,62.610600490996106,2.2781249999534303,49.9562054800335,1.65,62.610600490996106,52.23433047998694
47,63.654718136997005,2.3644531250465697,49.0401052848902,1.65,63.654718136997005,51.40455840993677
48,66.03939243900821,2.35337094904389,52.9295706410194,1.71,66.03939243900821,55.282941590063295
49,67.2289899140014,2.12635695992503,53.914775519981,1.71,67.2289899140014,56.04113247990603
50,66.9669117640005,2.1649535810574903,52.557268639095106,1.71,66.9669117640005,54.722222220152595
51,67.8566176469903,1.89242788497359,50.917757304851,1.71,67.8566176469903,52.810185189824594
52,67.678308824019,1.91968749999069,50.00196492020039,1.71,67.678308824019,51.92165242019108
53,68.3762254900066,1.9224999999860302,51.0632549900329,1.71,68.3762254900066,52.98575499001893
54,68.04473039199371,1.96730769204441,53.6252848977456,1.56,68.04473039199371,55.59259258979001
55,15.762162529303273,2.11324786301702,54.7122507072054,1.56,68.4035044309567,56.82549857022242
56,36.83927848250816,1.81944444496185,54.128205134999,1.56,68.07443674601379,55.94764957996085
57,25.993218950951007,1.68181818095036,55.646885518915994,1.56,68.8492647060193,57.32870369986635
58,20.621312932378434,1.8231818190543,51.616811060928704,1.56,69.4705882350099,53.439992879983
59,29.672137145809813,1.78477272693999,51.8724566132296,1.56,69.696691175981,53.65722934016959
60,20.167180589688023,1.9324494950706101,52.9518097647233,1.54,70.2107843140257,54.88425925979391
61,22.58409083739804,2.0085470080375702,54.7143874620087,1.54,70.0710784319672,56.72293447004627
