date,airTemp,elspec,GHI,L,L2_active,L2_import,PV,SOC,Wind_speed
2021-03-09 00:00:00,-5.5,181110.3935185185,2.9671052631578947,138.5055723028668,13.994041475199031,2.3003952568396926,0.005669831181876361,66.66110865275064,0.0
2021-03-09 00:10:00,-5.70000028610229,181134.95138888888,3.0394736842105265,142.37597577325224,13.2717467000929,2.3003952568396926,0.005669831181876361,66.65999755859374,1.4
2021-03-09 00:20:00,-5.65000009536743,181160.80829326922,3.111842105263158,159.3018659171412,13.903134937944076,2.302865612669848,0.005669831298291683,66.68571145193918,1.1166666666666667
2021-03-09 00:30:00,-5.900000095367429,181187.0318287037,3.1842105263157894,142.63036760233214,13.465311535334186,2.30508893285878,0.005669831181876361,66.68203803860412,0.8333333333333334
2021-03-09 00:40:00,-5.733333428700763,181210.63020833334,3.2565789473684212,133.7936588869256,13.867762711088531,2.2528409090591595,0.005669831181876361,66.67836462526905,0.75
2021-03-09 00:50:00,-5.549999952316285,181233.8125,3.3289473684210527,135.6093045250844,13.510387194358694,2.3034832015400752,0.005669831298291683,66.67469121193399,0.6666666666666667
2021-03-09 01:00:00,-5.5,181257.2373798077,3.4013157894736845,135.94458822476668,13.476249032101387,2.301630434812978,0.005669831181876361,66.67101779859894,0.5833333333333334
2021-03-09 01:10:00,-5.750000119209288,181280.7685185185,3.473684210526316,136.48597083657472,14.306520025608897,2.307065217406489,0.005669831181876361,66.66734438526387,0.5
2021-03-09 01:20:00,-5.90000009536743,181304.53587962964,3.5460526315789473,136.08616702839478,14.35709654274633,2.3559782608645037,0.005669831298291683,66.66367097192881,0.4
2021-03-09 01:30:00,-5.766666889190669,181328.21875,3.618421052631579,134.1272358072216,14.20592395190535,2.3532608695095405,0.005669831181876361,66.65999755859374,0.45
2021-03-09 01:40:00,-5.93333339691162,181351.45372596153,3.6907894736842106,135.04633033881754,14.4641489416866,2.405570652219467,0.005669831181876361,66.67499732971193,0.5
2021-03-09 01:50:00,-6.0,181374.30671296295,3.7631578947368425,134.68074617547504,13.444001213978908,2.3565340909408405,0.005669831298291683,66.63333129882812,0.5
2021-03-09 02:00:00,-6.09999990463257,181398.22896634616,3.835526315789474,144.76488585391294,13.596602779323765,2.255681818118319,0.005669831181876361,66.66666412353516,0.5
2021-03-09 02:10:00,-5.900000095367429,181423.32872596153,3.9078947368421053,146.21288545252915,13.713343523316464,2.25,0.005669831298291683,66.66666412353516,0.6666666666666666
2021-03-09 02:20:00,-5.70000028610229,181447.68865740742,3.980263157894737,137.29419320316637,13.707943754681088,2.25,0.005669831181876361,66.66666412353516,0.5833333333333333
2021-03-09 02:30:00,-5.65000009536743,181471.91261574073,4.052631578947368,142.7289211467161,14.252854832148145,2.359138257568702,0.005669831181876361,66.6999969482422,0.5
2021-03-09 02:40:00,-5.5,181497.14903846153,4.125,150.8336647163003,15.695563558804787,2.509270833339542,0.005669831298291683,66.65999755859374,0.25
2021-03-09 02:50:00,-5.15000009536743,181521.9502314815,4.197368421052632,138.62561245622305,14.163953633143983,2.456195652252063,0.005669831181876361,66.67999725341798,0.0
2021-03-09 03:00:00,-5.09999990463257,181545.36959134616,4.269736842105264,134.22731599969376,13.903396331657794,2.3532608695095405,0.005669831181876361,66.67999725341798,0.5
2021-03-09 03:10:00,-4.950000047683715,181568.7320601852,4.342105263157895,136.55227648201637,14.128116817797649,2.3559782608645037,0.005669831298291683,66.65714045933315,1.0
2021-03-09 03:20:00,-4.850000143051145,181592.10216346153,4.4144736842105265,132.29929675086066,13.485060287734207,2.307065217406489,0.005669831181876361,66.6999969482422,0.3333333333333333
2021-03-09 03:30:00,-4.65000009536743,181614.59975961538,4.486842105263158,130.457238019523,14.19329473527811,2.301630434812978,0.005669831181876361,66.67499732971193,0.5
2021-03-09 03:40:00,-4.450000047683715,181636.89122596153,4.559210526315789,131.91228834249205,13.504512382765936,2.3034832015400752,0.005669831298291683,66.6999969482422,0.5
2021-03-09 03:50:00,-4.30000019073486,181659.62615740742,4.631578947368421,128.42162387653923,13.184138960757497,2.2528409090591595,0.005669831181876361,66.65999755859374,0.5
2021-03-09 04:00:00,-4.20000028610229,181682.13715277778,4.703947368421053,128.81824006705452,12.988105017563392,2.2045454545877874,0.005669831298291683,66.64999771118164,0.5
2021-03-09 04:10:00,-4.30000019073486,181704.37620192306,4.776315789473684,130.454606266345,13.661039659532447,2.198863636353053,0.005669831181876361,66.64999771118164,0.5
2021-03-09 04:20:00,-4.3666667938232395,181726.5462962963,4.848684210526316,132.12638350664568,13.262239246045123,2.25,0.005669831181876361,66.65714045933315,0.6666666666666666
2021-03-09 04:30:00,-4.5,181751.00060096153,4.921052631578948,147.6279333082296,13.573109513622216,2.2556818182347342,0.005669831298291683,66.65454309636897,0.611111111111111
2021-03-09 04:40:00,-4.59999990463257,181775.9369212963,4.993421052631579,145.62693549846782,13.609180547423279,2.255681818118319,0.005669831181876361,66.65384380634015,0.5555555555555556
2021-03-09 04:50:00,-4.574999928474428,181801.43569711538,5.065789473684211,157.63133110434313,13.471518269900617,2.25,0.005669831181876361,66.65384380634015,0.5
2021-03-09 05:00:00,-4.549999952316285,181831.25983796295,5.1381578947368425,184.80147746457894,13.448238033359333,2.25,0.005669831298291683,66.65882110595703,0.5
2021-03-09 05:10:00,-4.750000238418575,181862.91947115384,5.210526315789474,187.94840615482647,13.382089420900506,2.2556818182347342,0.005669831181876361,66.64999771118164,0.5
