,i,type,prob,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.0,0.0,0.1666770306769995,-6.236979166666671,-6.8125,-6.88671875,-9.750000000000014,-12.93359375,-8.9765625,-11.209635416666655,-14.5625,-11.96484375,-9.4921875,-12.516927083333329,-9.28125,-8.34375,-10.28125,-10.068749999999994,-11.203125,-6.140625,-7.75,-8.0625,-12.015625,-14.625,-11.78125,-15.5,-10.921875,-13.078125,-12.068181818181811,-15.828125,-15.140625,-16.25,-20.386363636363622,-21.767045454545467,-26.34375,-11.984375,-26.09375,-36.28125,-32.5,-27.71875,-33.53125,-42.21875,-46.5625,-20.25,-14.40625,-15.859375,-21.306818181818187,-21.328125,-30.453125,-21.21875,-26.640625,-44.125,-29.375,-41.421875,-35.640625,-22.96875,-25.625,-31.953125,-35.875,-27.828125,-35.984375,-43.828125,-36.71875
1,0.0,1.0,0.6701561552353318,0.8206676136363612,-1.5764772727272713,-0.8039914772727286,-0.6450000000000145,-1.4450994318181771,-0.1707954545454541,-2.25386363636363,-3.286931818181813,-2.04349431818182,-0.007244318181818699,-5.426249999999998,-2.049545454545455,-2.656022727272726,-3.096988636363636,-2.8452272727272727,-2.365056818181819,-0.33835227272727336,-1.0198295454545458,-1.8328977272727272,-2.4450000000000003,-2.8065340909090906,-2.5382386363636384,-3.876988636363637,-2.3510795454545472,-4.330909090909091,-4.28931818181818,-5.918181818181819,-5.08568181818182,-2.9819318181818177,-6.1036363636363635,-4.031079545454546,-1.4497159090909093,-2.598238636363638,-1.1287500000000024,1.878068181818179,-2.8297159090909076,-3.724431818181819,2.289715909090904,1.9539204545454538,2.597727272727275,3.579204545454542,3.170625000000001,3.2411931818181814,0.4286931818181813,1.1457954545454583,-4.074715909090907,-2.290568181818179,2.3331818181818162,-0.7996022727272759,4.691079545454545,-4.07318181818182,-7.033125000000001,-1.9984090909090924,-0.9959659090909042,2.1792613636363627,-0.7525568181818187,-3.873920454545458,-1.1134090909090957,-8.706647727272724,-8.129147727272727
2,0.0,2.0,0.16316681408766875,4.794270833333329,3.0,2.7741477272727195,7.749999999999986,6.669270833333329,6.171875,7.118489583333343,9.083333333333345,5.0625,8.2265625,1.6861979166666714,5.84375,3.8125,6.21875,7.5,5.234375,9.609375,10.8125,6.953125,11.046875,5.328125,7.15625,9.25,10.46875,12.0625,7.875,10.984375,10.171875,31.0,23.65625,29.015625,29.15625,6.698863636363626,31.6875,26.587499999999977,13.625,18.96875,33.375,29.109375,28.4375,41.07954545454544,37.875,23.71875,27.921875,41.921875,24.9375,11.59375,30.359375,24.125,36.890625,29.109375,18.921875,19.33125000000001,25.6875,41.0625,28.25,20.26704545454544,33.203125,14.539772727272748,19.039772727272748
3,1.0,0.0,0.1659654600110584,-11.328125,-10.872395833333329,-8.0625,-14.614583333333345,-8.622395833333329,-13.3984375,-12.7109375,-10.34375,-10.93359375,-12.955729166666655,-9.2421875,-8.34375,-10.28125,-10.068749999999994,-11.203125,-6.140625,-7.75,-8.0625,-12.015625,-14.625,-11.78125,-15.5,-10.921875,-13.078125,-12.068181818181811,-15.828125,-15.140625,-16.25,-20.386363636363622,-21.767045454545467,-26.34375,-11.984375,-26.09375,-36.28125,-32.5,-27.71875,-33.53125,-42.21875,-46.5625,-20.25,-14.40625,-15.859375,-21.306818181818187,-21.328125,-30.453125,-21.21875,-26.640625,-44.125,-29.375,-41.421875,-35.640625,-22.96875,-25.625,-31.953125,-35.875,-27.828125,-35.984375,-43.828125,-36.71875,-40.796875
4,1.0,1.0,0.670165882313651,-2.4476136363636356,-1.5484943181818154,-1.2993750000000006,-2.0298295454545565,-0.5267045454545425,-2.547954545454546,-3.5721590909090963,-2.1497727272727216,-0.37589488636363483,-5.384659090909087,-2.066249999999994,-2.656022727272726,-3.096988636363636,-2.8452272727272727,-2.365056818181819,-0.33835227272727336,-1.0198295454545458,-1.8328977272727272,-2.4450000000000003,-2.8065340909090906,-2.5382386363636384,-3.876988636363637,-2.3510795454545472,-4.330909090909091,-4.28931818181818,-5.918181818181819,-5.08568181818182,-2.9819318181818177,-6.1036363636363635,-4.031079545454546,-1.4497159090909093,-2.598238636363638,-1.1287500000000024,1.878068181818179,-2.8297159090909076,-3.724431818181819,2.289715909090904,1.9539204545454538,2.597727272727275,3.579204545454542,3.170625000000001,3.2411931818181814,0.4286931818181813,1.1457954545454583,-4.074715909090907,-2.290568181818179,2.3331818181818162,-0.7996022727272759,4.691079545454545,-4.07318181818182,-7.033125000000001,-1.9984090909090924,-0.9959659090909042,2.1792613636363627,-0.7525568181818187,-3.873920454545458,-1.1134090909090957,-8.706647727272724,-8.129147727272727,-4.2581250000000015
5,1.0,2.0,0.16386865767529063,8.5625,3.783854166666672,6.140625,5.322916666666657,5.221354166666671,7.3203125,9.057291666666655,5.020833333333343,7.58203125,1.5130208333333286,5.341145833333343,3.8125,6.21875,7.5,5.234375,9.609375,10.8125,6.953125,11.046875,5.328125,7.15625,9.25,10.46875,12.0625,7.875,10.984375,10.171875,31.0,23.65625,29.015625,29.15625,6.698863636363626,31.6875,26.587499999999977,13.625,18.96875,33.375,29.109375,28.4375,41.07954545454544,37.875,23.71875,27.921875,41.921875,24.9375,11.59375,30.359375,24.125,36.890625,29.109375,18.921875,19.33125000000001,25.6875,41.0625,28.25,20.26704545454544,33.203125,14.539772727272748,19.039772727272748,26.0625
6,2.0,0.0,0.16427678979466734,-3.936197916666672,-11.875,-11.05078125,-7.171875000000014,-6.84375,-13.359375,-10.67578125,-7.65625,-10.67578125,-8.484375,-7.8359375,-10.28125,-10.068749999999994,-11.203125,-6.140625,-7.75,-8.0625,-12.015625,-14.625,-11.78125,-15.5,-10.921875,-13.078125,-12.068181818181811,-15.828125,-15.140625,-16.25,-20.386363636363622,-21.767045454545467,-26.34375,-11.984375,-26.09375,-36.28125,-32.5,-27.71875,-33.53125,-42.21875,-46.5625,-20.25,-14.40625,-15.859375,-21.306818181818187,-21.328125,-30.453125,-21.21875,-26.640625,-44.125,-29.375,-41.421875,-35.640625,-22.96875,-25.625,-31.953125,-35.875,-27.828125,-35.984375,-43.828125,-36.71875,-40.796875,-34.21875
7,2.0,1.0,0.6648443335144915,0.7351278409090881,0.7837500000000006,-0.16768465909090935,1.273636363636348,-0.9764204545454518,-2.2823863636363626,-0.9716761363636437,0.24920454545454626,-4.639943181818182,-1.6704545454545525,-2.2956249999999954,-3.096988636363636,-2.8452272727272727,-2.365056818181819,-0.33835227272727336,-1.0198295454545458,-1.8328977272727272,-2.4450000000000003,-2.8065340909090906,-2.5382386363636384,-3.876988636363637,-2.3510795454545472,-4.330909090909091,-4.28931818181818,-5.918181818181819,-5.08568181818182,-2.9819318181818177,-6.1036363636363635,-4.031079545454546,-1.4497159090909093,-2.598238636363638,-1.1287500000000024,1.878068181818179,-2.8297159090909076,-3.724431818181819,2.289715909090904,1.9539204545454538,2.597727272727275,3.579204545454542,3.170625000000001,3.2411931818181814,0.4286931818181813,1.1457954545454583,-4.074715909090907,-2.290568181818179,2.3331818181818162,-0.7996022727272759,4.691079545454545,-4.07318181818182,-7.033125000000001,-1.9984090909090924,-0.9959659090909042,2.1792613636363627,-0.7525568181818187,-3.873920454545458,-1.1134090909090957,-8.706647727272724,-8.129147727272727,-4.2581250000000015,-5.514034090909092
8,2.0,2.0,0.17087887669084112,5.1122159090909065,6.400000000000006,6.2890625,6.864583333333314,8.834635416666671,10.1875,5.979166666666657,7.78125,2.02734375,5.369791666666657,3.4479166666666714,6.21875,7.5,5.234375,9.609375,10.8125,6.953125,11.046875,5.328125,7.15625,9.25,10.46875,12.0625,7.875,10.984375,10.171875,31.0,23.65625,29.015625,29.15625,6.698863636363626,31.6875,26.587499999999977,13.625,18.96875,33.375,29.109375,28.4375,41.07954545454544,37.875,23.71875,27.921875,41.921875,24.9375,11.59375,30.359375,24.125,36.890625,29.109375,18.921875,19.33125000000001,25.6875,41.0625,28.25,20.26704545454544,33.203125,14.539772727272748,19.039772727272748,26.0625,15.340909090909063
9,3.0,0.0,0.1621803394410148,-8.359375,-10.41477272727272,-4.58203125,-6.057291666666686,-11.3671875,-8.7890625,-7.44140625,-9.46875,-7.9921875,-6.796875,-9.440104166666655,-10.068749999999994,-11.203125,-6.140625,-7.75,-8.0625,-12.015625,-14.625,-11.78125,-15.5,-10.921875,-13.078125,-12.068181818181811,-15.828125,-15.140625,-16.25,-20.386363636363622,-21.767045454545467,-26.34375,-11.984375,-26.09375,-36.28125,-32.5,-27.71875,-33.53125,-42.21875,-46.5625,-20.25,-14.40625,-15.859375,-21.306818181818187,-21.328125,-30.453125,-21.21875,-26.640625,-44.125,-29.375,-41.421875,-35.640625,-22.96875,-25.625,-31.953125,-35.875,-27.828125,-35.984375,-43.828125,-36.71875,-40.796875,-34.21875,-32.046875
10,3.0,1.0,0.6696764803934913,0.13406250000000028,-0.7524147727272663,0.9130397727272722,-1.2798863636363804,-2.581676136363632,-1.0967045454545457,-0.1428835227272714,-4.626477272727277,-1.7199715909090911,-2.0946022727272675,-2.7685937499999924,-2.8452272727272727,-2.365056818181819,-0.33835227272727336,-1.0198295454545458,-1.8328977272727272,-2.4450000000000003,-2.8065340909090906,-2.5382386363636384,-3.876988636363637,-2.3510795454545472,-4.330909090909091,-4.28931818181818,-5.918181818181819,-5.08568181818182,-2.9819318181818177,-6.1036363636363635,-4.031079545454546,-1.4497159090909093,-2.598238636363638,-1.1287500000000024,1.878068181818179,-2.8297159090909076,-3.724431818181819,2.289715909090904,1.9539204545454538,2.597727272727275,3.579204545454542,3.170625000000001,3.2411931818181814,0.4286931818181813,1.1457954545454583,-4.074715909090907,-2.290568181818179,2.3331818181818162,-0.7996022727272759,4.691079545454545,-4.07318181818182,-7.033125000000001,-1.9984090909090924,-0.9959659090909042,2.1792613636363627,-0.7525568181818187,-3.873920454545458,-1.1134090909090957,-8.706647727272724,-8.129147727272727,-4.2581250000000015,-5.514034090909092,-4.310454545454542
