,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,date,rmse
10,-5.0,1.0,0.140625,-1.0000000000000142,5.234375,3.75,10.921875,9.8125,6.09375,6.71875,5.421875,6.0,2.25,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,2021-04-14 01:40:00,18.19487921249525
11,1.53125,0.34375,-0.75,5.499999999999986,3.625,10.59375,9.640625,5.8125,6.984375,6.53125,7.015625,2.25,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,2021-04-14 01:50:00,18.25607452325658
12,-1.328125,-2.1875,4.265625,2.187499999999986,9.140625,8.53125,4.78125,6.6875,7.265625,7.84375,3.53125,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,2021-04-14 02:00:00,19.180593474020167
13,-0.890625,5.5,2.953125,9.624999999999986,9.09375,5.15625,7.53125,8.875,9.28125,5.15625,10.140625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,2021-04-14 02:10:00,19.38804993561729
14,6.390625,3.4375,9.890625,9.499999999999986,5.4375,8.34375,10.515625,10.8125,6.9375,13.9375,13.3125,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,2021-04-14 02:20:00,19.526573502637536
15,-2.734375,4.125,4.5,0.9374999999999858,5.0,8.625,9.4375,6.4375,16.078125,16.59375,14.5625,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,2021-04-14 02:30:00,19.520263368257762
16,6.4375,6.75,2.859375,7.249999999999986,11.5,12.0,9.046875,20.5,21.328125,19.0625,3.546875,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,2021-04-14 02:40:00,19.83513223306376
17,1.03125,-2.40625,3.09375,8.75,9.71875,7.59375,21.640625,23.5625,21.84375,9.156250000000028,3.640625,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,2021-04-14 02:50:00,19.872213632972024
18,-3.453125,2.6875,9.28125,10.25,8.484375,24.65625,27.203125,25.5625,15.234375,9.156250000000028,12.84375,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,2021-04-14 03:00:00,20.26953027136729
19,6.40625,13.5625,14.15625,12.374999999999986,30.296875,33.09375,31.15625,22.8125,15.796875,18.9375,0.484375,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,2021-04-14 03:10:00,21.142166945337728
