,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,date,rmse
0,12.90625,16.59375,8.453125,7.125,11.65625,11.125,8.171875,9.6875,10.25,11.953125,14.546875,27.59375,16.65625,14.9375,5.8125,11.796875,11.953125,15.78125,11.640625,8.234375,-5.453125,-2.6875,-2.84375,-40.90625,-36.125,-41.71875,-42.640625,-42.609375,-47.375,-13.46875,-15.703125,-9.5,-4.671875,-31.25,-82.21875,-126.25,-110.40625,-106.9375,-68.09375,-21.71875,-48.109375,-44.96875,-25.234375,-20.734375,-36.453125,-41.703125,-19.53125,-24.015625,-41.40625,-28.8125,-42.546875,-26.359375,-16.3125,-39.78125,-28.671875,-34.84375,-14.328125,-54.828125,-55.828125,-69.53125,2021-03-17 00:00:00,-40.12319778086936
1,16.59375,8.453125,7.125,11.65625,11.125,8.171875,9.6875,10.25,11.953125,14.546875,27.59375,16.65625,14.9375,5.8125,11.796875,11.953125,15.78125,11.640625,8.234375,-5.453125,-2.6875,-2.84375,-40.90625,-36.125,-41.71875,-42.640625,-42.609375,-47.375,-13.46875,-15.703125,-9.5,-4.671875,-31.25,-82.21875,-126.25,-110.40625,-106.9375,-68.09375,-21.71875,-48.109375,-44.96875,-25.234375,-20.734375,-36.453125,-41.703125,-19.53125,-24.015625,-41.40625,-28.8125,-42.546875,-26.359375,-16.3125,-39.78125,-28.671875,-34.84375,-14.328125,-54.828125,-55.828125,-69.53125,-53.921875,2021-03-17 00:10:00,-40.68850315183614
2,8.453125,7.125,11.65625,11.125,8.171875,9.6875,10.25,11.953125,14.546875,27.59375,16.65625,14.9375,5.8125,11.796875,11.953125,15.78125,11.640625,8.234375,-5.453125,-2.6875,-2.84375,-40.90625,-36.125,-41.71875,-42.640625,-42.609375,-47.375,-13.46875,-15.703125,-9.5,-4.671875,-31.25,-82.21875,-126.25,-110.40625,-106.9375,-68.09375,-21.71875,-48.109375,-44.96875,-25.234375,-20.734375,-36.453125,-41.703125,-19.53125,-24.015625,-41.40625,-28.8125,-42.546875,-26.359375,-16.3125,-39.78125,-28.671875,-34.84375,-14.328125,-54.828125,-55.828125,-69.53125,-53.921875,-65.0625,2021-03-17 00:20:00,-41.49117048469595
3,7.125,11.65625,11.125,8.171875,9.6875,10.25,11.953125,14.546875,27.59375,16.65625,14.9375,5.8125,11.796875,11.953125,15.78125,11.640625,8.234375,-5.453125,-2.6875,-2.84375,-40.90625,-36.125,-41.71875,-42.640625,-42.609375,-47.375,-13.46875,-15.703125,-9.5,-4.671875,-31.25,-82.21875,-126.25,-110.40625,-106.9375,-68.09375,-21.71875,-48.109375,-44.96875,-25.234375,-20.734375,-36.453125,-41.703125,-19.53125,-24.015625,-41.40625,-28.8125,-42.546875,-26.359375,-16.3125,-39.78125,-28.671875,-34.84375,-14.328125,-54.828125,-55.828125,-69.53125,-53.921875,-65.0625,-50.515625,2021-03-17 00:30:00,-41.986388020063764
4,11.65625,11.125,8.171875,9.6875,10.25,11.953125,14.546875,27.59375,16.65625,14.9375,5.8125,11.796875,11.953125,15.78125,11.640625,8.234375,-5.453125,-2.6875,-2.84375,-40.90625,-36.125,-41.71875,-42.640625,-42.609375,-47.375,-13.46875,-15.703125,-9.5,-4.671875,-31.25,-82.21875,-126.25,-110.40625,-106.9375,-68.09375,-21.71875,-48.109375,-44.96875,-25.234375,-20.734375,-36.453125,-41.703125,-19.53125,-24.015625,-41.40625,-28.8125,-42.546875,-26.359375,-16.3125,-39.78125,-28.671875,-34.84375,-14.328125,-54.828125,-55.828125,-69.53125,-53.921875,-65.0625,-50.515625,-25.578125,2021-03-17 00:40:00,-42.105993554322104
5,11.125,8.171875,9.6875,10.25,11.953125,14.546875,27.59375,16.65625,14.9375,5.8125,11.796875,11.953125,15.78125,11.640625,8.234375,-5.453125,-2.6875,-2.84375,-40.90625,-36.125,-41.71875,-42.640625,-42.609375,-47.375,-13.46875,-15.703125,-9.5,-4.671875,-31.25,-82.21875,-126.25,-110.40625,-106.9375,-68.09375,-21.71875,-48.109375,-44.96875,-25.234375,-20.734375,-36.453125,-41.703125,-19.53125,-24.015625,-41.40625,-28.8125,-42.546875,-26.359375,-16.3125,-39.78125,-28.671875,-34.84375,-14.328125,-54.828125,-55.828125,-69.53125,-53.921875,-65.0625,-50.515625,-25.578125,-43.3125,2021-03-17 00:50:00,-42.448986262725676
6,8.171875,9.6875,10.25,11.953125,14.546875,27.59375,16.65625,14.9375,5.8125,11.796875,11.953125,15.78125,11.640625,8.234375,-5.453125,-2.6875,-2.84375,-40.90625,-36.125,-41.71875,-42.640625,-42.609375,-47.375,-13.46875,-15.703125,-9.5,-4.671875,-31.25,-82.21875,-126.25,-110.40625,-106.9375,-68.09375,-21.71875,-48.109375,-44.96875,-25.234375,-20.734375,-36.453125,-41.703125,-19.53125,-24.015625,-41.40625,-28.8125,-42.546875,-26.359375,-16.3125,-39.78125,-28.671875,-34.84375,-14.328125,-54.828125,-55.828125,-69.53125,-53.921875,-65.0625,-50.515625,-25.578125,-43.3125,-37.53125,2021-03-17 01:00:00,-42.70047134508527
7,9.6875,10.25,11.953125,14.546875,27.59375,16.65625,14.9375,5.8125,11.796875,11.953125,15.78125,11.640625,8.234375,-5.453125,-2.6875,-2.84375,-40.90625,-36.125,-41.71875,-42.640625,-42.609375,-47.375,-13.46875,-15.703125,-9.5,-4.671875,-31.25,-82.21875,-126.25,-110.40625,-106.9375,-68.09375,-21.71875,-48.109375,-44.96875,-25.234375,-20.734375,-36.453125,-41.703125,-19.53125,-24.015625,-41.40625,-28.8125,-42.546875,-26.359375,-16.3125,-39.78125,-28.671875,-34.84375,-14.328125,-54.828125,-55.828125,-69.53125,-53.921875,-65.0625,-50.515625,-25.578125,-43.3125,-37.53125,-23.109375,2021-03-17 01:10:00,-42.791564366788826
8,10.25,11.953125,14.546875,27.59375,16.65625,14.9375,5.8125,11.796875,11.953125,15.78125,11.640625,8.234375,-5.453125,-2.6875,-2.84375,-40.90625,-36.125,-41.71875,-42.640625,-42.609375,-47.375,-13.46875,-15.703125,-9.5,-4.671875,-31.25,-82.21875,-126.25,-110.40625,-106.9375,-68.09375,-21.71875,-48.109375,-44.96875,-25.234375,-20.734375,-36.453125,-41.703125,-19.53125,-24.015625,-41.40625,-28.8125,-42.546875,-26.359375,-16.3125,-39.78125,-28.671875,-34.84375,-14.328125,-54.828125,-55.828125,-69.53125,-53.921875,-65.0625,-50.515625,-25.578125,-43.3125,-37.53125,-23.109375,-1.28125,2021-03-17 01:20:00,-42.77360416634196
9,11.953125,14.546875,27.59375,16.65625,14.9375,5.8125,11.796875,11.953125,15.78125,11.640625,8.234375,-5.453125,-2.6875,-2.84375,-40.90625,-36.125,-41.71875,-42.640625,-42.609375,-47.375,-13.46875,-15.703125,-9.5,-4.671875,-31.25,-82.21875,-126.25,-110.40625,-106.9375,-68.09375,-21.71875,-48.109375,-44.96875,-25.234375,-20.734375,-36.453125,-41.703125,-19.53125,-24.015625,-41.40625,-28.8125,-42.546875,-26.359375,-16.3125,-39.78125,-28.671875,-34.84375,-14.328125,-54.828125,-55.828125,-69.53125,-53.921875,-65.0625,-50.515625,-25.578125,-43.3125,-37.53125,-23.109375,-1.28125,-28.609375,2021-03-17 01:30:00,-42.91237324296747
