,i,type,prob,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.0,0.0,0.37449085891879985,-1.4062499999999858,-8.006250000000009,-10.181249999999991,-9.962499999999991,-3.90625,-0.84375,-2.0531249999999943,-3.575000000000017,-1.0968749999999972,-0.71875,1.5718750000000057,-5.550000000000011,-1.203125,-3.4124999999999943,-6.703125,-0.987499999999983,-2.6781249999999943,0.6937500000000085,-2.1968750000000057,-8.0,5.165625000000006,3.268750000000012,3.0124999999999886,1.3875000000000028,5.140625,4.681250000000006,-2.3531250000000057,-3.5,-7.974999999999994,-0.65625,-0.78125,0.7249999999999943,-2.840625000000017,-31.21875,-26.53125,-16.724999999999994,-12.287499999999994,-17.881249999999994,-34.34062499999999,-23.5,-41.118750000000006,-54.65625,-52.26249999999999,-52.64999999999998,-60.28125,-38.79999999999998,-36.3125,-39.67500000000001,-28.015625,-43.625,-39.646875,-41.41250000000002,-48.975,-33.431250000000006,-49.953125,-26.287499999999994,-35.540625000000006,-45.60624999999999,-62.44062500000001,-47.4375
1,0.0,1.0,0.4342759458703232,3.328125,-1.09375,1.2937500000000028,4.112499999999997,7.0625,4.106250000000003,2.515625000000014,0.862499999999983,1.4625000000000057,1.875,1.796875,2.2124999999999915,8.321875000000006,7.093750000000014,8.015625,7.700000000000003,3.253124999999997,2.3062500000000057,6.690624999999997,13.5,10.378125000000011,13.018750000000011,8.46875,40.38749999999999,20.90625,24.51249999999999,37.81875,46.025000000000006,68.415625,66.28125,73.40937500000001,74.73750000000001,67.40625,61.462500000000006,55.4375,36.9375,43.25937499999998,51.15625,50.55937499999999,32.5,37.996875,37.35,33.390625,36.3125,52.265625,43.28125,30.19999999999999,12.074999999999989,24.97187500000001,49.3125,60.70312500000003,58.17500000000001,49.81562500000001,59.71875,49.546875,61.212500000000034,51.15937500000001,42.125,9.6875,6.375
2,0.0,2.0,0.19123319521087703,1.66458333333334,-3.887500000000003,-3.4249999999999923,-1.4791666666666619,2.5104166666666665,1.8624999999999972,0.5718750000000105,-1.366666666666679,0.5281250000000028,0.7395833333333334,1.7166666666666686,-1.5375000000000085,3.571875000000001,3.1062500000000077,2.5625,2.7750000000000106,0.8031250000000038,1.6875000000000047,2.4041666666666637,2.8958333333333335,7.953125000000004,6.564583333333341,6.453124999999996,16.399999999999995,11.822916666666666,11.695833333333331,12.043749999999996,15.045833333333334,21.092708333333338,23.21875,24.932291666666675,39.975,22.868749999999995,4.2416666666666645,5.963541666666667,6.887499999999998,14.961458333333331,26.55000000000001,17.774999999999995,10.083333333333334,7.107291666666664,-1.7499999999999976,4.0552083333333355,1.6541666666666746,7.890625,13.206250000000002,2.4770833333333346,-6.412500000000023,1.658333333333341,17.291666666666668,18.709375000000012,13.604166666666666,1.2927083333333347,-1.15625,-2.875,3.39166666666668,0.4406250000000019,-15.40208333333333,-20.63958333333333,-17.5625
3,1.0,0.0,0.3584254591435819,-6.559374999999989,-8.837500000000006,-8.484375,-2.550000000000012,-3.59375,-5.118750000000006,-6.1781250000000085,-4.087500000000006,-1.8187499999999943,-1.09375,-8.296874999999986,-3.6750000000000114,-5.853125000000006,-8.987499999999997,-3.28125,-4.824999999999989,-1.4000000000000057,-4.3125,-9.956250000000011,6.1875,1.59375,3.9375,2.309375000000017,6.0375000000000085,2.734375,-1.5687499999999943,-2.878125000000012,-7.275000000000006,-2.3843749999999915,-0.1875,1.3218750000000057,-2.2874999999999943,-31.75312500000001,-25.412499999999994,-15.796875,-11.512499999999989,-17.12187499999999,-33.256249999999994,-22.631249999999994,-40.0,-53.196875000000006,-50.85,-51.25,-58.6625,-37.59375,-35.14999999999998,-38.578125,-27.075000000000017,-42.650000000000006,-38.71875,-40.38749999999999,-47.94999999999999,-32.515625,-48.73124999999999,-25.5625,-34.599999999999994,-44.615625,-61.26875000000001,-46.178125,-17.4375
4,1.0,1.0,0.44777030931231365,-4.334374999999994,-1.65625,0.8625000000000114,3.812499999999986,3.59375,2.531249999999986,2.2437499999999915,2.612500000000012,0.5343750000000114,2.78125,-0.1781249999999943,9.487499999999995,6.731250000000003,7.375,5.109375,4.25,3.0749999999999886,4.331250000000011,11.240624999999994,8.0625,11.034374999999995,6.856250000000003,39.32499999999999,20.0625,23.765625,37.368750000000006,45.53437500000001,68.1,66.05000000000001,73.3125,74.96875,67.76249999999999,62.428124999999966,56.73124999999999,38.65625,45.30000000000001,50.065625,49.56875,31.51875,36.9375,39.228125000000006,35.32500000000002,38.34687500000001,51.85,43.078125,32.91874999999999,12.459374999999994,25.23750000000001,51.59687500000001,62.8125,60.46875,52.087500000000006,61.98749999999998,51.89999999999998,63.640625,53.5,44.934375000000045,12.518750000000011,9.253125000000011,15.5625
5,1.0,2.0,0.19380423154410445,-5.5093749999999915,-5.0395833333333355,-3.0406249999999964,0.908333333333322,0.328125,-0.9125000000000085,-2.811458333333339,-0.8749999999999999,-0.6687499999999886,0.3020833333333333,-2.917708333333323,2.24999999999999,1.7812499999999953,1.2854166666666675,1.5,-0.3749999999999905,0.5302083333333295,1.2312500000000075,1.8385416666666572,6.9375,5.674999999999997,5.587500000000001,15.65,11.15,11.057291666666666,11.47708333333334,14.453125,20.566666666666663,22.760416666666675,24.5625,39.73437500000001,22.729166666666668,4.734374999999981,6.48333333333333,7.427083333333333,15.537500000000009,27.115624999999998,18.51458333333333,10.765624999999995,7.833333333333333,-0.7635416666666686,4.975000000000001,2.5802083333333408,9.120833333333337,14.40625,3.8604166666666706,-5.041666666666676,2.9374999999999907,18.442708333333336,19.8125,14.762500000000008,2.4666666666666686,0.18333333333333712,-1.4562500000000114,4.708333333333333,1.7458333333333371,-13.843749999999986,-19.147916666666664,-15.831249999999995,-4.9375
6,2.0,0.0,0.3965603089257194,-2.4656249999999886,-2.0625,3.6656250000000057,4.924999999999997,-1.25,-0.8062500000000057,-0.3999999999999915,1.8499999999999943,2.4375,-4.75,4.4437500000000085,7.874999999999986,8.831249999999997,7.662500000000008,2.71875,3.050000000000012,7.368750000000006,8.868750000000006,10.71875,8.8125,8.203125,6.487499999999997,9.90625,5.287499999999994,0.96875,0.6624999999999943,-3.7406249999999934,-0.125,2.815625000000012,4.5,0.7625000000000028,-28.8125,-21.965625000000017,-12.625,-8.578125,-14.287499999999994,-30.18125000000001,-19.85624999999999,-37.05937499999999,-50.0,-47.78437500000001,-48.28124999999997,-55.55937499999999,-34.98749999999998,-32.671875,-36.24999999999997,-24.987499999999983,-40.61250000000001,-36.8125,-38.46875,-46.115625,-30.875,-46.725,-24.28125,-33.1875,-43.23749999999998,-59.79374999999999,-44.70000000000002,-16.640625,-20.625
7,2.0,1.0,0.35092763561267154,-0.4156249999999915,4.931250000000006,7.753125000000011,9.637499999999989,8.5,8.231249999999989,8.528125000000003,6.224999999999994,8.343750000000014,5.1875,14.837500000000006,11.924999999999995,12.390625,8.300000000000011,9.09375,7.850000000000008,8.309374999999989,14.25,10.887499999999989,14.0625,8.943750000000009,7.962500000000006,10.106250000000015,10.537500000000009,2.21875,3.0374999999999943,3.0281249999999886,7.950000000000003,3.0718750000000057,45.09375,4.987500000000011,-13.012499999999989,-9.375,1.6124999999999972,14.828125,51.9375,51.41250000000001,33.243750000000006,38.45625000000001,13.75,32.18437499999999,22.18125000000001,53.5,44.8125,15.890625,14.525000000000006,27.05625000000001,48.0,36.91250000000002,25.53125,4.528124999999989,-27.17500000000001,-6.215625000000017,-22.5,-12.5,-40.57500000000002,-7.949999999999989,-9.368750000000006,16.21875000000003,-5.625
8,2.0,2.0,0.25251205546160904,-1.44062499999999,1.4343750000000028,5.7093750000000085,7.281249999999993,3.625,3.7124999999999915,4.064062500000006,4.037499999999994,5.390625000000007,0.21875,9.640625000000007,9.899999999999991,10.610937499999999,7.98125000000001,5.90625,5.45000000000001,7.839062499999997,11.559375000000003,10.803124999999994,11.4375,8.573437500000004,7.225000000000001,10.006250000000009,7.912500000000001,1.59375,1.8499999999999943,-0.3562500000000024,3.9125000000000014,2.9437500000000085,24.796875,2.875000000000007,-20.912499999999994,-15.670312500000009,-5.506250000000001,3.125,18.825000000000003,10.615625,6.6937500000000085,0.6984375000000114,-18.125,-7.800000000000011,-13.049999999999981,-1.0296874999999943,4.9125000000000085,-8.390625,-10.862499999999983,1.0343750000000131,3.6937499999999943,0.05000000000001137,-6.46875,-20.793750000000006,-29.025000000000006,-26.47031250000001,-23.390625,-22.84375,-41.90625,-33.87187499999999,-27.03437500000001,-0.2109374999999858,-13.125
9,3.0,0.0,0.39437019155777553,0.5218749999999943,6.112499999999997,5.268750000000011,-0.9125000000000084,-0.578125,-0.1125000000000113,2.184375000000003,2.700000000000003,-4.40625,4.8125,8.212500000000006,9.187499999999986,8.549999999999997,3.112500000000012,3.375,7.662500000000008,10.768750000000011,11.100000000000025,10.628125000000011,9.4375,8.193749999999994,10.112500000000011,5.556250000000006,1.0875000000000057,2.015625,-2.325000000000003,0.1124999999999971,3.112500000000012,5.765625,1.96875,-27.631249999999994,-20.224999999999994,-11.090624999999989,-7.212499999999977,-12.953125,-28.537499999999994,-18.443750000000023,-35.412499999999994,-48.02812499999999,-45.875,-46.400000000000006,-53.475,-33.33125000000001,-31.07499999999999,-34.734375,-23.64375000000001,-39.25,-35.51250000000002,-37.087500000000006,-44.75,-29.63437500000001,-45.10000000000002,-23.26249999999999,-31.96875,-41.984375,-58.375,-43.209375,-15.762499999999989,-19.846874999999983,-22.3125
