date,L,L1,L2
2020-10-01 01:00:00,105.82379596638228,96.90662947469599,8.917166491686286
2020-10-01 01:10:00,99.31171136532188,92.56206198206792,6.749649383253972
2020-10-01 01:20:00,106.92692725441671,99.83794294682048,7.088984307596239
2020-10-01 01:30:00,101.56562688329196,92.27372524421443,9.291901639077516
2020-10-01 01:40:00,109.19416758219404,100.05790385505402,9.136263727140024
2020-10-01 01:50:00,107.45545089579076,98.46982774803821,8.98562314775255
2020-10-01 02:00:00,113.41411361019163,104.27008963478727,9.144023975404373
2020-10-01 02:10:00,102.4933440468528,93.19931111552498,9.29403293132782
2020-10-01 02:20:00,105.82473550019444,98.36796021072357,7.456775289470864
2020-10-01 02:30:00,103.9640860557556,96.3151167732174,7.6489692825382045
2020-10-01 02:40:00,104.44242900501594,96.75373155872175,7.688697446294189
2020-10-01 02:50:00,104.61950830582087,95.7315968434446,8.887911462376259
2020-10-01 03:00:00,106.54208474410208,99.27722081320256,7.264863930899522
2020-10-01 03:10:00,101.85005449365688,92.52877073293952,9.321283760717364
2020-10-01 03:20:00,101.94279039823091,94.3441823278245,7.598608070406419
2020-10-01 03:30:00,98.65077300465435,90.9715928676835,7.679180136970851
2020-10-01 03:40:00,103.67533370823536,95.99732962999227,7.678004078243089
2020-10-01 03:50:00,114.93201666479716,107.38755554192261,7.544461122874559
2020-10-01 04:00:00,108.00605463098594,100.82152918926323,7.184525441722706
2020-10-01 04:10:00,109.05139701149679,101.71065256543292,7.340744446063862
2020-10-01 04:20:00,102.79537851876076,94.22578721906797,8.569591299692789
2020-10-01 04:30:00,127.9567819075151,119.67995258802993,8.276829319485161
2020-10-01 04:40:00,119.92376283498913,110.60234654255405,9.321416292435083
2020-10-01 04:50:00,115.8659588900479,105.63207765285202,10.233881237195886
2020-10-01 05:00:00,159.10880591351054,151.58706641042593,7.5217395030846035
2020-10-01 05:10:00,164.58048849190234,156.83212315602321,7.748365335879121
2020-10-01 05:20:00,166.06148535926062,156.22584938212864,9.83563597713198
2020-10-01 05:30:00,194.82268495379762,186.67703221540577,8.145652738391844
2020-10-01 05:40:00,197.93796628659905,189.5512019716988,8.386764314900272
2020-10-01 05:50:00,223.77904173044053,214.68249288624855,9.096548844191986
2020-10-01 06:00:00,257.34029368172696,248.12110337824237,9.219190303484597
2020-10-01 06:10:00,232.9681031968857,223.02877470978288,9.9393284871028
2020-10-01 06:20:00,215.74495923077615,205.5485710524898,10.196388178286345
2020-10-01 06:30:00,221.46339214972733,210.84054570253906,10.622846447188275
2020-10-01 06:40:00,253.6724723122336,243.3647747978774,10.30769751435619
2020-10-01 06:50:00,244.8598132663303,231.25319773912878,13.606615527201507
2020-10-01 07:00:00,281.57335331754865,268.58443322496595,12.988920092582704
2020-10-01 07:10:00,268.0751732720268,256.97421696944866,11.100956302578163
2020-10-01 07:20:00,271.1688618053089,255.62073731263104,15.548124492677864
2020-10-01 07:30:00,260.9722039849909,249.6032740971364,11.368929887854533
2020-10-01 07:40:00,265.6119615034624,254.9292567061504,10.682704797311994
2020-10-01 07:50:00,288.9400210425968,278.50722626435345,10.432794778243355
2020-10-01 08:00:00,301.8332637752498,288.12902058796743,13.704243187282396
2020-10-01 08:10:00,304.8675971503731,291.68138608162167,13.186211068751447
2020-10-01 08:20:00,285.85023906443377,272.9162488712053,12.933990193228436
2020-10-01 08:30:00,284.94414931077216,269.1562618408447,15.787887469927465
2020-10-01 08:40:00,298.2913658898156,279.6813649697237,18.61000092009193
2020-10-01 08:50:00,345.92161061213585,330.73403403290337,15.187576579232507
2020-10-01 09:00:00,331.5830898459899,316.86926069420053,14.713829151789348
2020-10-01 09:10:00,329.12087720788037,314.54638312079044,14.574494087089924
2020-10-01 09:20:00,349.19222495339136,335.5697884696903,13.622436483701073
2020-10-01 09:30:00,313.7289929871166,297.89464796701975,15.834345020096874
2020-10-01 09:40:00,320.15055506437716,308.3205703668559,11.829984697521244
2020-10-01 09:50:00,313.8409402029854,299.4734718499062,14.367468353079147
2020-10-01 10:00:00,315.0163562702684,299.27636319089856,15.739993079369805
2020-10-01 10:10:00,301.2293804763653,288.80355628635704,12.42582419000823
2020-10-01 10:20:00,316.19589287411844,302.302918398784,13.892974475334434
2020-10-01 10:30:00,337.7972259521485,326.24274451100933,11.554481441139153
2020-10-01 10:40:00,350.32254513179015,337.5155853136407,12.80695981814944
2020-10-01 10:50:00,353.1018861543148,341.5714970043311,11.530389149983721
2020-10-01 11:00:00,365.8742260849266,350.72894942840895,15.145276656517613
2020-10-01 11:10:00,333.57815523500784,319.4299310913492,14.148224143658656
2020-10-01 11:20:00,325.2812630393288,313.1060678344228,12.175195204905975
2020-10-01 11:30:00,337.7895424321012,323.4028898620794,14.386652570021784
2020-10-01 11:40:00,313.58299184068346,300.1872072653198,13.395784575363686
2020-10-01 11:50:00,307.37375321821725,294.79212269387216,12.581630524345071
2020-10-01 12:00:00,292.97069164591096,280.44019377974917,12.530497866161795
2020-10-01 12:10:00,332.6283730400932,319.892655608389,12.735717431704204
2020-10-01 12:20:00,305.33529722924334,291.77207371901403,13.563223510229287
2020-10-01 12:30:00,325.79918891692824,310.1426788315379,15.656510085390325
2020-10-01 12:40:00,337.9191998175855,327.043766178641,10.875433638944461
2020-10-01 12:50:00,303.05675513591234,289.2081977631972,13.848557372715161
2020-10-01 13:00:00,296.33640345820675,284.1561026626931,12.180300795513649
2020-10-01 13:10:00,354.0408580883129,342.06060651159277,11.980251576720162
2020-10-01 13:20:00,316.2790308172053,301.4691081555076,14.809922661697655
