,pv_mean,pv_min,pv_max,pl_mean,pl_min,pl_max
0,1.0414012238016943,0.08615973741794325,3.6225051779874886,113.43693701691677,90.57159486823123,139.70168063876866
10,1.0148380734429197,0.045131291028446485,3.54155539047157,114.6189846233996,96.98095654574307,151.153216167561
20,0.9882749230841456,0.004102844638949943,3.460605602955651,115.5110669812978,98.06357700452892,143.28608955593285
30,0.962942626117056,0.0,3.3796558154397323,112.61847977407758,96.37530945394637,144.05033943245
40,0.9377470906379312,0.0,3.2987060279238136,111.41318327200187,95.60192115284573,136.25194210476343
50,0.9125515551588067,0.0,3.217756240407895,111.75141579075952,96.80443662351313,138.6854903609664
60,0.8873560196796823,0.0,3.1368064528919755,111.88220007267265,95.51912757328577,135.77740464516734
70,0.8621604842005576,0.0,3.055856665376057,110.79251775317806,95.18465521576204,136.38140077944163
80,0.8369649487214329,0.0,2.974906877860138,110.19463703237187,91.81473242718238,134.76393252286047
90,0.8117694132423086,0.0,2.8939570903442196,111.52264332815194,97.56032298694959,131.97727692242964
100,0.7865738777631839,0.0,2.813007302828301,109.73272601440475,93.78494887579059,131.48059902012903
110,0.762043918959336,0.0,2.7320575153123814,111.04045897531316,94.73774215153283,129.47453713631847
120,0.7375254511063648,0.0,2.6511077277964628,110.05900110369761,94.34393987241,133.35383717948147
130,0.7130069832533934,0.0,2.570157940280544,109.75608143872037,89.10364232744489,138.75433492214881
140,0.688488515400422,0.0,2.4892081527646255,108.87933253994454,96.95022290666525,124.27299070812408
150,0.6639700475474506,0.0,2.408258365248707,108.43346085574122,94.19172381479805,126.66745750992389
160,0.639451579694479,0.0,2.3273085777327873,109.63839476318641,95.05559685447,132.4160621930968
170,0.6149331118415077,0.0,2.2463587902168687,109.63401121870858,92.36952647456414,126.65228099554352
180,0.5924549271285205,0.0,2.16540900270095,111.25305095774958,95.02095466685068,134.17707362743695
190,0.5699931619188608,0.00039046230737191834,2.0844592151850314,110.24058829479895,95.44990525155696,127.40223385872095
200,0.5475328428658952,0.0008243093155629388,2.0035094276691128,110.36118627016195,95.3423130382191,132.48375723496926
210,0.5250725238129293,0.0012581563237539593,1.9225596401531933,111.09168206854747,86.66900969005765,130.04024206143671
220,0.5026122047599638,0.0016920033319449796,1.8416098526372746,109.30878861670773,92.6789058079229,125.51458495253819
230,0.480151885706998,0.002125850340136,1.760660065121356,109.41788501859486,89.95325593690612,132.02164348255502
240,0.45769156665403227,0.0025596973483270205,1.6797102776054373,109.73756578204828,94.19191357036969,129.29979879205877
250,0.43523124760106663,0.0029935443565180407,1.5987604900895178,110.24145091709376,96.47544461871503,131.11418716995797
260,0.4127709285481007,0.0034273913647090612,1.5178107025735992,109.36887225925858,92.59280703483373,135.110537442294
270,0.39031060949513496,0.003861238372900082,1.4368609150576805,113.2739702086933,93.69281797588992,139.98380286738563
280,0.36785029044216927,0.004295085381091102,1.355911127541762,119.85545693466203,95.95346636290942,152.70595342462713
290,0.3453899713892035,0.004728932389282122,1.2749613400258433,119.01478315467435,101.97301263207788,146.7792194813221
